word	phones
suppers	s ʌ p ə ɹ z
childrens	tʃ ɪ l d ɹ ə n z
dragon's	d ɹ æ ɡ ə n z
babysitting	b eɪ b iː s ɪ t ɪ ŋ
snacking	s n æ k ɪ ŋ
frankie	f ɹ æ ŋ k iː
jonah	dʒ oʊ n ə
regan	ɹ iː ɡ ə n
legan	l ɛ ɡ ə n
megan	m eɪ ɡ ə n
amelia	ə m iː l j ə
rogers	ɹ ɑ dʒ ə ɹ z
thora	θ ɔ ɹ ə
grizzly	ɡ ɹ ɪ z l iː
grot	ɡ ɹ ɑ t
seedling	s iː d l ɪ ŋ
g's	dʒ iː z
drugstore	d ɹ ʌ ɡ s t ɔ ɹ
candy's	k æ n d iː z
tylenol	t aɪ l ə n ɔ l
tot	t ɑ t
master's	m æ s t ə ɹ z
mott	m ɑ t
washer	w ɑ ʃ ə ɹ
mummer	m ʌ m ə ɹ
teething	t iː ð ɪ ŋ
chorus	k ɔ ɹ ə s
masters	m æ s t ə ɹ z
envelopes	ɛ n v ə l oʊ p s
noble's	n oʊ b ə l z
kiwis	k iː w iː z
sana	s ɑ n ə
kiwi	k iː w iː
slapping	s l æ p ɪ ŋ
petting	p ɛ t ɪ ŋ
strolling	s t ɹ oʊ l ɪ ŋ
dunking	d ʌ ŋ k ɪ ŋ
dubbing	d ʌ b ɪ ŋ
soothing	s uː ð ɪ ŋ
doris	d ɔ ɹ ə s
redoing	ɹ iː d uː ɪ ŋ
brooke	b ɹ ʊ k
grated	ɡ ɹ eɪ t ɪ d
dubbed	d ʌ b d
snare	s n ɛ ɹ
thighs	θ aɪ z
thingamajigs	θ ɪ ŋ ə m ɪ dʒ ɪ ɡ z
shivering	ʃ ɪ v ə ɹ ɪ ŋ
thingamajig	θ ɪ ŋ ə m ɪ dʒ ɪ ɡ
blossom	b l ɑ s ə m
damaged	d æ m ə dʒ d
transmits	t ɹ æ n z m ɪ t s
doves	d ʌ v z
rinsed	ɹ ɪ n s t
flickers	f l ɪ k ə ɹ z
clarinets	k l æ ɹ ə n ɛ t s
olly	ɑ l iː
peckers	p ɛ k ə z
twaddle	t w ɑ d ə l
twiddle	t w ɪ d ə l
puns	p ʌ n z
spittle	s p ɪ t ə l
os	ɑ s
whoever's	h uː ɛ v ə ɹ z
woodpecker	w ʊ d p ɛ k ə ɹ
melissa	m ə l ɪ s ə
jean	dʒ iː n
sprained	s p ɹ eɪ n d
stairway	s t ɛ ɹ w eɪ
restriction	ɹ iː s t ɹ ɪ k ʃ ə n
amounts	ə m aʊ n t s
opossum	oʊ p ɑ s ə m
garlicky	ɡ ɑ ɹ l ɪ k iː
marinated	m ɛ ɹ ə n eɪ t ɪ d
bibi	b ɪ b iː
bibby	b ɪ b iː
avoids	ə v ɔɪ d z
uneven	ə n iː v ə n
summery	s ʌ m ə ɹ ɪ
cashews	k æ ʃ uː z
wriggle	ɹ ɪ ɡ ə l
charlotte	ʃ ɑ ɹ l ə t
opossums	ə p ɑ s ə m z
cooling	k uː l ɪ ŋ
brighton	b ɹ aɪ t ə n
paddock	p æ d ə k
seedlings	s iː d l ɪ ŋ z
grams	ɡ ɹ æ m z
temper	t ɛ m p ə ɹ
tastier	t eɪ s t iː ə ɹ
salsa	s ɔ l s ə
newspapers	n uː z p eɪ p ə ɹ z
segue	s ɛ ɡ
minding	m aɪ n d ɪ ŋ
hybrid	h aɪ b ɹ ə d
fuse	f j uː z
ambulances	æ m b j ə l ə n s ə z
tufted	t ʌ f t ɪ d
mallery	m æ l ə ɹ iː
radio's	ɹ eɪ d iː oʊ z
feeders	f iː d ə ɹ z
straws	s t ɹ ɔ z
baffle	b æ f ə l
kills	k ɪ l z
shivers	ʃ ɪ v ə ɹ z
quivers	k w ɪ v ə z
wowie	w aʊ iː
goat's	ɡ oʊ t s
geraldine	dʒ ɛ ɹ ə l d iː n
smoothie	s m uː ð ɪ
filet	f ɪ l eɪ
filets	f ɪ l eɪ z
breaded	b ɹ ɛ d ɪ d
waddy	w ɑ d iː
squashes	s k w ɑ ʃ ɪ z
sharpening	ʃ ɑ ɹ p ə n ɪ ŋ
ticker	t ɪ k ə ɹ
cilantro	s ɪ l æ n t ɹ oʊ
barbershop	b ɑ ɹ b ə ɹ ʃ ɑ p
magnolia	m æ ɡ n oʊ l j ə
blooms	b l uː m z
indicator	ɪ n d ə k eɪ t ə ɹ
wells	w ɛ l z
rugs	ɹ ʌ ɡ z
soaked	s oʊ k t
drugs	d ɹ ʌ ɡ z
species	s p iː ʃ iː z
drilling	d ɹ ɪ l ɪ ŋ
yucca	j ʌ k ə
repeated	ɹ ɪ p iː t ɪ d
lather	l æ ð ə ɹ
rich	ɹ ɪ tʃ
filters	f ɪ l t ə ɹ z
thorns	θ ɔ ɹ n z
weeds	w iː d z
pasteurization	p æ s tʃ ə ɹ ə z eɪ ʃ ə n
solidarity	s ɑ l ə d ɛ ɹ ə t iː
hyacinths	h aɪ ə s ɪ n θ s
outgrowing	aʊ t ɡ ɹ oʊ ɪ ŋ
attaches	ə t æ tʃ ɪ z
cylinder	s ɪ l ə n d ə ɹ
transporting	t ɹ æ n s p ɔ ɹ t ɪ ŋ
spoil	s p ɔɪ l
cables	k eɪ b ə l z
hampered	h æ m p ə ɹ d
electrical	ɪ l ɛ k t ɹ ɪ k ə l
utility	j uː t ɪ l ə t iː
morphing	m ɔ ɹ f ɪ ŋ
horrendously	h ɔ ɹ ɛ n d ə s l iː
hollies	h ɑ l iː z
christ	k ɹ aɪ s t
fucking	f ʌ k ɪ ŋ
magnetic	m æ ɡ n ɛ t ɪ k
drowning	d ɹ aʊ n ɪ ŋ
leak	l iː k
repairing	ɹ ɪ p ɛ ɹ ɪ ŋ
divided	d ɪ v aɪ d ɪ d
julio	dʒ uː l iː oʊ
technical	t ɛ k n ɪ k ə l
glitch	ɡ l ɪ tʃ
dividing	d ɪ v aɪ d ɪ ŋ
painters	p eɪ n t ə ɹ z
grating	ɡ ɹ eɪ t ɪ ŋ
housework	h aʊ s w ɜː k
jag	dʒ æ ɡ
vacuuming	v æ k j uː m ɪ ŋ
straightening	s t ɹ eɪ t ə n ɪ ŋ
splurge	s p l ɜː dʒ
zealand	z iː l ə n d
mass	m æ s
suppress	s ə p ɹ ɛ s
totes	t oʊ t s
sucrose	s uː k ɹ oʊ s
sander	s æ n d ə ɹ
yelp	j ɛ l p
sheesh	ʃ iː ʃ
joking	dʒ oʊ k ɪ ŋ
diddy	d ɪ d iː
griz	ɡ ɹ ɪ z
poncho	p ɑ n tʃ oʊ
correcting	k ə ɹ ɛ k t ɪ ŋ
alpha	æ l f ə
wrenches	ɹ ɛ n tʃ ɪ z
arthurs	ɑ ɹ θ ə ɹ z
limpet	l ɪ m p ɪ t
elf	ɛ l f
commission	k ə m ɪ ʃ ə n
gene's	dʒ iː n z
yap	j æ p
chuck	tʃ ʌ k
aardvark	ɑ ɹ d v ɑ ɹ k
roosting	ɹ uː s t ɪ ŋ
sufficiently	s ə f ɪ ʃ ə n t l iː
ownership	oʊ n ə ɹ ʃ ɪ p
sundays	s ʌ n d eɪ z
mondays	m ʌ n d iː z
jostled	dʒ ɑ s ə l d
unpredictable	ʌ n p ɹ ɪ d ɪ k t ə b ə l
somewhat	s ʌ m w ʌ t
joker	dʒ oʊ k ə ɹ
involves	ɪ n v ɑ l v z
production	p ɹ ə d ʌ k ʃ ə n
overdue	oʊ v ə ɹ d uː
vineyard	v ɪ n j ə ɹ d
martha's	m ɑ ɹ θ ə z
kelley	k ɛ l iː
prevent	p ɹ ɪ v ɛ n t
julian	dʒ uː l iː ə n
timothy	t ɪ m ə θ iː
baseball's	b eɪ s b ɔ l z
lyric	l ɪ ɹ ɪ k
dolce	d oʊ l tʃ eɪ
nostril	n ɑ s t ɹ ɪ l
lyrics	l ɪ ɹ ɪ k s
negotiate	n ə ɡ oʊ ʃ iː eɪ t
nebulous	n ɛ b j ə l ə s
nit	n ɪ t
burrow	b ɜː oʊ
vaccination	v æ k s ə n eɪ ʃ ə n
bjorn	b j ɔ ɹ n
digga	d ɪ ɡ ə
serengeti	s ɛ ɹ ə n ɡ ɛ t iː
pope	p oʊ p
mulberry	m ʌ l b ɛ ɹ iː
flowering	f l aʊ ə ɹ ɪ ŋ
fetched	f ɛ tʃ t
bachelor's	b æ tʃ ə l ə ɹ z
veil	v eɪ l
towns	t aʊ n z
compatible	k ə m p æ t ə b ə l
partial	p ɑ ɹ ʃ ə l
cambridge	k eɪ m b ɹ ɪ dʒ
uninvited	ʌ n ɪ n v aɪ t ɪ d
whatever's	w ʌ t ɛ v ə ɹ z
eagles	iː ɡ ə l z
tolerant	t ɑ l ə ɹ ə n t
drought	d ɹ aʊ t
germinate	dʒ ɜː m ə n eɪ t
quests	k w ɛ s t s
philadelphia	f ɪ l ə d ɛ l f iː ə
transplant	t ɹ æ n s p l æ n t
explanation	ɛ k s p l ə n eɪ ʃ ə n
hare	h ɛ ɹ
wows	w aʊ z
thunders	θ ʌ n d ə ɹ z
bate	b eɪ t
nate	n eɪ t
hares	h ɛ ɹ z
hodge	h ɑ dʒ
hedge	h ɛ dʒ
fanning	f æ n ɪ ŋ
ing	ɪ ŋ
centipede	s ɛ n t ɪ p iː d
fanatic	f ə n æ t ɪ k
fans	f æ n z
fanatics	f ə n æ t ɪ k s
sanskrit	s æ n s k ɹ ɪ t
kiwi's	k iː w iː z
parlor	p ɑ ɹ l ə ɹ
milking	m ɪ l k ɪ ŋ
wheelbarrows	w iː l b ɛ ɹ oʊ z
mcduff	m ə k d ʌ f
chive	tʃ aɪ v
minna	m ɪ n ə
chives	tʃ aɪ v z
portland	p ɔ ɹ t l ə n d
reasons	ɹ iː z ə n z
amaranth	æ m ə ɹ æ n θ
bugging	b ʌ ɡ ɪ ŋ
heather	h ɛ ð ə ɹ
zinnias	z ɪ n iː ə z
juggle	dʒ ʌ ɡ ə l
zigzagging	z ɪ ɡ z æ ɡ ɪ ŋ
jew	dʒ uː
zinnia	z ɪ n iː ə
quantities	k w ɑ n t ə t iː z
pseudo	s uː d oʊ
settings	s ɛ t ɪ ŋ z
default	d ɪ f ɔ l t
allegedly	ə l ɛ dʒ ə d l iː
fidelity	f ə d ɛ l ə t iː
manual	m æ n j uː ə l
provincetown	p ɹ ɑ v ə n s t aʊ n
higgins	h ɪ ɡ ɪ n z
philadelphia's	f ɪ l ə d ɛ l f iː ə z
generated	dʒ ɛ n ə ɹ eɪ t ə d
seam	s iː m
organic	ɔ ɹ ɡ æ n ɪ k
unfold	ə n f oʊ l d
humor	h j uː m ə ɹ
ominous	ɑ m ə n ə s
gap	ɡ æ p
nematode	n ɛ m ə t oʊ d
philip's	f ɪ l ə p s
thirtieth	θ ɜː t iː ə θ
croc	k ɹ ɑ k
thud	θ ʌ d
fisher	f ɪ ʃ ə ɹ
boogie	b uː ɡ iː
abner	æ b n ə ɹ
zipped	z ɪ p t
reposition	ɹ iː p ə z ɪ ʃ ə n
overcast	oʊ v ə ɹ k æ s t
turnaround	t ɜː n ə ɹ aʊ n d
deterrent	d ɪ t ɜː ɹ ə n t
mosquito	m ə s k iː t oʊ
wishful	w ɪ ʃ f ə l
associated	ə s oʊ s iː eɪ t ɪ d
milling	m ɪ l ɪ ŋ
tighter	t aɪ t ə ɹ
ernest	ɜː n ə s t
nativity	n ə t ɪ v ə t iː
brew	b ɹ uː
liver	l ɪ v ə ɹ
renewal	ɹ ɪ n uː ə l
nevertheless	n ɛ v ə ɹ ð ə l ɛ s
ferries	f ɛ ɹ iː z
cookin'	k ʊ k ɪ n
ten's	t ɛ n z
goldy	ɡ oʊ l d iː
herman	h ɜː m ə n
izzy	ɪ z iː
calibrated	k æ l ə b ɹ eɪ t ə d
thickness	θ ɪ k n ə s
herded	h ɜː d ɪ d
engaging	ɛ n ɡ eɪ dʒ ɪ ŋ
shooing	ʃ uː ɪ ŋ
hazard	h æ z ə ɹ d
linus	l aɪ n ə s
reasoning	ɹ iː z ə n ɪ ŋ
noreen	n ə ɹ iː n
millie	m ɪ l iː
pesky	p ɛ s k iː
budging	b ʌ dʒ ɪ ŋ
undies	ʌ n d ɪ z
yodel	j oʊ d ə l
slowed	s l oʊ d
stephen	s t iː v ə n
crossings	k ɹ ɔ s ɪ ŋ z
upgrading	ə p ɡ ɹ eɪ d ɪ ŋ
implying	ɪ m p l aɪ ɪ ŋ
thursdays	θ ɜː z d eɪ z
occasionally	ə k eɪ ʒ ə n ə l iː
placement	p l eɪ s m ə n t
twine	t w aɪ n
puzzling	p ʌ z ə l ɪ ŋ
emus	iː m j uː z
mosquitoes	m ə s k iː t oʊ z
stabilizing	s t eɪ b ə l aɪ z ɪ ŋ
brocco	b ɹ ɑ k oʊ
avoiding	ə v ɔɪ d ɪ ŋ
swatter	s w ɑ t ə ə ɹ
baronial	b ə ɹ oʊ n j ə l
cookout	k ʊ k aʊ t
skill	s k ɪ l
medicinal	m ə d ɪ s ə n ə l
residue	ɹ ɛ z ə d uː
bathrooms	b æ θ ɹ uː m z
tina	t iː n ə
hissing	h ɪ s ɪ ŋ
arnica	ɑ n ɪ k ə
bessie	b ɛ s iː
hissed	h ɪ s t
accommodations	ə k ɑ m ə d eɪ ʃ ə n z
sumptuous	s ʌ m p tʃ w ə s
dal	d æ l
suggestion	s ə dʒ ɛ s tʃ ə n
jama	dʒ æ m ə
organizing	ɔ ɹ ɡ ə n aɪ z ɪ ŋ
kraft	k ɹ æ f t
gourmet	ɡ ʊ ɹ m eɪ
civilized	s ɪ v ə l aɪ z d
headphones	h ɛ d f oʊ n z
pung	p ʌ ŋ
predicting	p ɹ ɪ d ɪ k t ɪ ŋ
watchers	w ɑ tʃ ə ɹ z
plugs	p l ʌ ɡ z
journal	dʒ ɜː n ə l
snowplow	s n oʊ p l aʊ
handy	h æ n d iː
factoring	f æ k t ə ɹ ɪ ŋ
elapsed	ɪ l æ p s t
that've	ð æ t ə v
there've	ð ɛ ɹ v
spooned	s p uː n d
crews	k ɹ uː z
huckleberries	h ʌ k l b ə ɹ ɪ z
blackberries	b l æ k b ɛ ɹ iː z
texture	t ɛ k s tʃ ə ɹ
flooded	f l ʌ d ə d
interim	ɪ n t ə ɹ ə m
tantrum	t æ n t ɹ ə m
lifeguards	l aɪ f ɡ ɑ ɹ d z
unstable	ə n s t eɪ b ə l
difficulty	d ɪ f ə k ə l t iː
waldorf	w ɔ l d ɔ ɹ f
mahoney	m ə h oʊ n iː
apricots	æ p ɹ ə k ɑ t s
activity	æ k t ɪ v ə t iː
sinks	s ɪ ŋ k s
illustrated	ɪ l ə s t ɹ eɪ t ə d
katherine	k æ θ ə ɹ ɪ n
incredible	ɪ n k ɹ ɛ d ə b ə l
ostensibly	ɑ s t ɛ n s ə b l iː
remarkable	ɹ ɪ m ɑ ɹ k ə b ə l
upright	ə p ɹ aɪ t
liqueur	l ɪ k ɜː
puffin	p ʌ f ɪ n
grunting	ɡ ɹ ʌ n t ɪ ŋ
sleds	s l ɛ d z
shapely	ʃ eɪ p l iː
blender	b l ɛ n d ə ɹ
twentieth	t w ɛ n t iː ə θ
rentals	ɹ ɛ n t ə l z
luxury	l ʌ ɡ ʒ ə ɹ iː
cirrhosis	s ə ɹ oʊ s ə s
bluffs	b l ʌ f s
pathetic	p ə θ ɛ t ɪ k
ass	æ s
googling	ɡ uː ɡ l ɪ ŋ
skim	s k ɪ m
ayatollah	aɪ ə t oʊ l ə
bomb	b ɑ m
refrigerating	ɹ ɪ f ɹ ɪ dʒ ə ɹ eɪ t ɪ ŋ
silhouettes	s ɪ l ə w ɛ t s
fare	f ɛ ɹ
lubeck	l uː b ɛ k
ramps	ɹ æ m p s
commuters	k ə m j uː t ə ɹ z
atlas	æ t l ə s
oblong	ɑ b l ɔ ŋ
borrowed	b ɑ ɹ oʊ d
ellipse	ɪ l ɪ p s
recovering	ɹ ə k ʌ v ə ɹ ɪ ŋ
patient's	p eɪ ʃ ə n t s
stems	s t ɛ m z
truffle	t ɹ ʌ f ə l
bourbon	b ɜː b ə n
clog	k l ɑ ɡ
quota	k w oʊ t ə
cove	k oʊ v
hustle	h ʌ s ə l
refrigerated	ɹ ɪ f ɹ ɪ dʒ ə ɹ eɪ t ɪ d
hygienist	h aɪ ɡ iː n ɪ s t
butt	b ʌ t
pastries	p eɪ s t ɹ iː z
figs	f ɪ ɡ z
faith	f eɪ θ
ringler	ɹ ɪ ŋ ɡ ə l ə ɹ
comfort	k ʌ m f ə ɹ t
whitish	w aɪ t ɪ ʃ
marketing	m ɑ ɹ k ə t ɪ ŋ
sullivan	s ʌ l ə v ə n
sonya	s oʊ n j ə
gandhi	ɡ ɑ n d iː
mahatma	m ə h ɑ t m ə
bootie	b uː t iː
thwacking	θ w æ k ɪ ŋ
laptop	l æ p t ɑ p
staff	s t æ f
takin'	t eɪ k ɪ n
compared	k ə m p ɛ ɹ d
dhoti	d oʊ t ɪ
stains	s t eɪ n z
congested	k ə n dʒ ɛ s t ə d
chiming	tʃ aɪ m ɪ ŋ
tradeoff	t ɹ eɪ d ɔ f
icebox	aɪ s b ɑ k s
methodical	m ə θ ɑ d ə k ə l
papaya	p ə p aɪ ə
swelled	s w ɛ l d
redoes	ɹ iː d ʌ z
grandsons	ɡ ɹ æ n d s ʌ n z
canola	k ə n oʊ l ə
messes	m ɛ s ɪ z
saver	s eɪ v ə ɹ
overly	oʊ v ə ɹ l iː
emma's	ɛ m ə z
brewing	b ɹ uː ɪ ŋ
fluid	f l uː ə d
surfboard	s ɜː f b ɔ ɹ d
surfing	s ɜː f ɪ ŋ
sal	s æ l
surf	s ɜː f
swearing	s w ɛ ɹ ɪ ŋ
clusters	k l ʌ s t ə ɹ z
consonant	k ɑ n s ə n ə n t
postures	p ɑ s tʃ ə ɹ z
turmeric	t ɜː m ə ɹ ɪ k
pipers	p aɪ p ə ɹ z
partridge	p ɑ ɹ t ɹ ə dʒ
excessively	ɪ k s ɛ s ɪ v l iː
sal's	s æ l z
cho	tʃ oʊ
burped	b ɜː p t
beaches	b iː tʃ ə z
flattening	f l æ t ə n ɪ ŋ
what'll	w ʌ t ə l
chambers	tʃ eɪ m b ə ɹ z
inquiry	ɪ n k w aɪ ɹ iː
smudges	s m ʌ dʒ ɪ z
files	f aɪ l z
media	m iː d iː ə
nutty	n ʌ t iː
pickerel	p ɪ k ə ɹ ə l
plunges	p l ʌ n dʒ ɪ z
blinks	b l ɪ ŋ k s
magnet's	m æ ɡ n ə t s
backseat	b æ k s iː t
pines	p aɪ n z
straddle	s t ɹ æ d ə l
mangy	m eɪ n dʒ iː
resigned	ɹ ɪ z aɪ n d
campbell	k æ m b ə l
alistair	æ l ɪ s t ɛ ɹ
cycle	s aɪ k ə l
blair	b l ɛ ɹ
figures	f ɪ ɡ j ə ɹ z
kieran	k iː ɹ ə n
brunswick	b ɹ ʌ n z w ɪ k
nab	n æ b
dag	d æ ɡ
chili's	tʃ ɪ l iː z
unpacking	ə n p æ k ɪ ŋ
positions	p ə z ɪ ʃ ə n z
traction	t ɹ æ k ʃ ə n
tests	t ɛ s t s
cooperation	k oʊ ɑ p ə ɹ eɪ ʃ ə n
crystallized	k ɹ ɪ s t ə l aɪ z d
publish	p ʌ b l ɪ ʃ
semi	s ɛ m iː
lathered	l ɑ ð ə d
supposition	s ʌ p ə z ɪ ʃ ə n
tricycles	t ɹ aɪ s ɪ k l z
toothache	t uː θ eɪ k
toothaches	t uː θ eɪ k s
guarantee	ɡ ɛ ɹ ə n t iː
fiona	f iː oʊ n ə
suffer	s ʌ f ə ɹ
bunches	b ʌ n tʃ ə z
lovers	l ʌ v ə ɹ z
richmond	ɹ ɪ tʃ m ə n d
johnathan	dʒ ɑ n ə θ ə n
successful	s ə k s ɛ s f ə l
lionel	l aɪ ə n ə l
linguine	l ɪ ŋ ɡ w iː n iː
winne	w ɪ n
carmen	k ɑ ɹ m ə n
harbour	h ɑ ɹ b ə ɹ
appealing	ə p iː l ɪ ŋ
cavity	k æ v ə t iː
hyannis	h aɪ æ n ɪ s
prodigal	p ɹ ɑ d ɪ ɡ ə l
englanders	ɪ ŋ ɡ l ə n d ə ɹ z
birch	b ɜː tʃ
dope	d oʊ p
cavities	k æ v ɪ t iː z
code	k oʊ d
closets	k l ɑ z ə t s
moma	m oʊ m ə
hardwood	h ɑ ɹ d w ʊ d
canceling	k æ n s ə l ɪ ŋ
paprika	p æ p ɹ iː k ə
makin'	m eɪ k ɪ n
nag	n æ ɡ
improvised	ɪ m p ɹ ə v aɪ z d
jerked	dʒ ɜː k t
pappy	p æ p ɪ
textures	t ɛ k s tʃ ə ɹ z
rambunctiously	ɹ æ m b ʌ ŋ k ʃ ə s l ɪ
neighbors'	n eɪ b ə ɹ z
stringing	s t ɹ ɪ ŋ ɪ ŋ
leaked	l iː k t
bandy	b æ n d iː
bottom's	b ɑ t ə m z
townhouse	t aʊ n h aʊ s
squelch	s k w ɛ l tʃ
coriander	k ɔ ɹ iː æ n d ə ɹ
dicing	d aɪ s ɪ ŋ
slicing	s l aɪ s ɪ ŋ
earthworm	ɜː θ w ɜː m
georgy	dʒ ɔ ɹ dʒ iː
slithering	s l ɪ ð ə ɹ ɪ ŋ
rob	ɹ ɑ b
slop	s l ɑ p
pandas	p æ n d ə z
needle	n iː d ə l
libraries	l aɪ b ɹ ɛ ɹ iː z
muslin	m ʌ z l ə n
expected	ɪ k s p ɛ k t ə d
stumped	s t ʌ m p t
examining	ɪ ɡ z æ m ɪ n ɪ ŋ
pom	p ɔ m
tidily	t aɪ d ɪ l ɪ
lucinda	l uː s ɪ n d ə
burner	b ɜː n ə ɹ
michaela	m aɪ k ɛ l ə
shavings	ʃ eɪ v ɪ ŋ z
measures	m ɛ ʒ ə ɹ z
describing	d ɪ s k ɹ aɪ b ɪ ŋ
perambulator	p ə ɹ æ m b j ʊ l eɪ t ə ə ɹ
scuffling	s k ʌ f ə l ɪ ŋ
presently	p ɹ ɛ z ə n t l iː
skirting	s k ɜː t ɪ ŋ
ventured	v ɛ n tʃ ə ɹ d
mena	m iː n ə
dentists	d ɛ n t ə s t s
hearth	h ɑ ɹ θ
cautiously	k ɔ ʃ ə s l iː
unpleasant	ə n p l ɛ z ə n t
squeaked	s k w iː k t
ally's	ə l aɪ z
sheriff	ʃ ɛ ɹ ə f
blackbirds	b l æ k b ə ɹ d z
barnes	b ɑ ɹ n z
litter	l ɪ t ə ɹ
tongs	t ɑ ŋ z
rash	ɹ æ ʃ
unpacked	ə n p æ k t
pouf	p uː f
watery	w ɔ t ə ɹ iː
pal's	p æ l z
barked	b ɑ ɹ k t
calculated	k æ l k j ə l eɪ t ɪ d
reassure	ɹ iː ə ʃ ʊ ɹ
mopped	m ɑ p t
mopping	m ɑ p ɪ ŋ
seesaws	s iː s ɔ z
syringe	s ə ɹ ɪ n dʒ
centipedes	s ɛ n t ɪ p iː d z
adjective	æ dʒ ɪ k t ɪ v
adjectives	æ dʒ ɪ k t ɪ v z
describes	d ɪ s k ɹ aɪ b z
spicier	s p aɪ s iː ə ə ɹ
importantly	ɪ m p ɔ ɹ t ə n t l iː
leaped	l ɛ p t
crowding	k ɹ aʊ d ɪ ŋ
vent	v ɛ n t
gymnastics	dʒ ɪ m n æ s t ɪ k s
camilla	k ə m ɪ l ə
lentil	l ɛ n t ə l
tso	t s oʊ
eucalyptus	j uː k ə l ɪ p t ə s
coop	k uː p
lars	l ɑ ɹ z
journeys	dʒ ɜː n iː z
variation	v ɛ ɹ iː eɪ ʃ ə n
mary's	m ɛ ɹ iː z
demanding	d ɪ m æ n d ɪ ŋ
connection	k ə n ɛ k ʃ ə n
wanting	w ɑ n t ɪ ŋ
emergencies	ɪ m ɜː dʒ ə n s iː z
witch's	w ɪ tʃ ɪ z
cardamom	k ɑ ɹ d ə m ə m
ovals	oʊ v l z
oblongs	ɑ b l ɑ ŋ z
sag	s æ ɡ
interval	ɪ n t ə ɹ v ə l
examine	ɪ ɡ z æ m ɪ n
highly	h aɪ l iː
dips	d ɪ p s
scope	s k oʊ p
finishes	f ɪ n ɪ ʃ ɪ z
grounds	ɡ ɹ aʊ n d z
bears'	b ɛ ɹ z
misunderstanding	m ɪ s ə n d ə ɹ s t æ n d ɪ ŋ
foster	f ɑ s t ə ɹ
cannonball	k æ n ə n b ɔ l
wabash	w ɔ b æ ʃ
treadmill	t ɹ ɛ d m ɪ l
burger	b ɜː ɡ ə ɹ
sprat	s p ɹ æ t
valve	v æ l v
georgie	dʒ ɔ ɹ dʒ iː
whey	w eɪ
eczema	ɛ k s ə m ə
potholes	p ɑ t h oʊ l z
pays	p eɪ z
translate	t ɹ æ n z l eɪ t
hibernating	h aɪ b ə n eɪ t ɪ ŋ
veterinary	v ɛ t ɹ ə n ɛ ɹ iː
stalls	s t ɔ l z
stroll	s t ɹ oʊ l
preschool	p ɹ iː s k uː l
chem	k ɛ m
chopstick	tʃ ɑ p s t ɪ k
therapist	θ ɛ ɹ ə p ə s t
fats	f æ t s
woodpeckers	w ʊ d p ɛ k ə ɹ z
skin's	s k ɪ n z
cumin	k j uː m ə n
browse	b ɹ aʊ z
lacing	l eɪ s ɪ ŋ
framed	f ɹ eɪ m d
inhale	ɪ n h eɪ l
te	t iː
je	dʒ iː
clare	k l ɛ ɹ
emmet	ɛ m ɪ t
securely	s ɪ k j ʊ ɹ l iː
raping	ɹ eɪ p ɪ ŋ
metallic	m ə t æ l ɪ k
jacka	dʒ æ k ə
poaching	p oʊ tʃ ɪ ŋ
reserve	ɹ ɪ z ɜː v
interference	ɪ n t ə ɹ f ɪ ɹ ə n s
cornmeal	k ɔ ɹ n m iː l
receipt	ɹ ɪ s iː t
scraps	s k ɹ æ p s
almon	ɑ l m ə n
creaking	k ɹ iː k ɪ ŋ
origami	ɔ ɹ iː ɡ ɑ m iː
wat	w ɔ t
part's	p ɑ ɹ t s
stall	s t ɔ l
coin	k ɔɪ n
rodney	ɹ ɑ d n iː
victoria	v ɪ k t ɔ ɹ iː ə
pikes	p aɪ k s
injury	ɪ n dʒ ə ɹ iː
veterinarians	v ɛ t ɹ ə n ɛ ɹ iː ə n z
treated	t ɹ iː t ɪ d
allen's	æ l ə n z
teal	t iː l
mallard	m æ l ə ɹ d
chowder	tʃ aʊ d ə ɹ
egret	ɛ ɡ ɹ ə t
doodling	d uː d l ɪ ŋ
gull	ɡ ʌ l
owe	oʊ
throated	θ ɹ oʊ t ɪ d
futon	f uː t ɑ n
fluids	f l uː ə d z
pelicans	p ɛ l ɪ k ə n z
eureka	j ʊ ɹ iː k ə
replacing	ɹ ɪ p l eɪ s ɪ ŋ
therefore	ð ɛ ɹ f ɔ ɹ
photocopier	f oʊ t oʊ k ɑ p iː ə ɹ
sites	s aɪ t s
seattle	s iː æ t ə l
son's	s ʌ n z
retail	ɹ iː t eɪ l
assume	ə s uː m
nocturnal	n ɑ k t ɜː n ə l
scattered	s k æ t ə ɹ d
navratilova	n æ v ɹ æ t ɪ l oʊ v ə
martina	m ɑ ɹ t iː n ə
hale	h eɪ l
unhappiness	ə n h æ p iː n ɪ s
salk	s ɔ k
jonas	dʒ oʊ n ə s
zenaida	z ɪ n eɪ d ə
tons	t ʌ n z
astaire	ə s t ɛ ɹ
organize	ɔ ɹ ɡ ə n aɪ z
austen	ɔ s t ɪ n
desmond	d ɛ z m ə n d
murrelet	m ɜː l ɪ t
sunrise	s ʌ n ɹ aɪ z
unto	ʌ n t uː
committee	k ə m ɪ t iː
welcoming	w ɛ l k ə m ɪ ŋ
weasel	w iː z ə l
transmitting	t ɹ æ n s m ɪ t ɪ ŋ
protecting	p ɹ ə t ɛ k t ɪ ŋ
carby	k ɑ ɹ b iː
swallows	s w ɑ l oʊ z
smudge	s m ʌ dʒ
combining	k ə m b aɪ n ɪ ŋ
annoyed	ə n ɔɪ d
